Key,Value,Version,Comment
quest.step.have.on.grid.many,"Baue und schließe <b>{1} ({0})</b> an",,"{0} will be a multiplier, {1} will be the device name. Example: »Build and Connect <b>×2 Matter Reactor</b>«"
quest.step.have.on.grid.one,"Baue und schließe <b>{0}</b> an",,"{0} will be the device name. Example: »Build and Connect a <b>Matter Reactor</b>«"
quest.step.have.one.section,"Verbinde alle Schiffsbereiche miteinander",,
quest.step.have.one.section.tip,"Um im Weltraum reisen zu können, muss unser Schiff in einem Stück sein. Benutze den <b>Windenhaken</b> und den <b>Windenanker</b> oder baue Böden, um getrennte Bereiche miteinander zu verbinden. Ziehe für mehr Details das <b>Bereichs</b>overlay zu Rate.",,
quest.step.make.accessible,"Ermögliche Zugang zu {0}",,
quest.step.make.accessible.tip,"Um den Zugang zu einem Gebiet zu gewährleisten, benötigt es mindestens eine <b>Tür</b>. Diese Tür sollte letztlich <b>ein Weg nach draußen</b> sein.<br><br>Benutze das <b>Räume</b>overlay, um zu sehen, welche Bereiche von außen unerreichbar sind.",,
quest.step.make.airtight,"Erhöhe den Luftdruck des {0}raums",,"{0} is the device name (i.e. Stasis Array)"
quest.step.make.airtight.tip,"Um Druck in einem Raum aufzubauen,:<br> • <b>repariere</b> beschädigte Bausubstanz<br> • <b>verbinde</b> alle <b>Türen</b> und <b>Luftschleusen</b> mit deinem Stromnetz und<br> • <b>schließe</b> die Luftschleusen, wenn sie in den freien Weltraum führen.<br><br>Schaue dir für mehr Details das <b>Luftdichtheit</b>-, <b>Isolierungs</b>- sowie <b>Räume</b>overlay an.",,
quest.step.make.ship.flight.ready,"Versetze das Schiff in Flugbereitschaft",,
quest.step.make.ship.flight.ready.tip,"Gehe in das <b>{0}</b>overlay durch die Liste der Punkte für Flugbereitschaft und stelle sicher, dass wir für <b>interplanetare Flüge</b> bereit sind.",,
quest.step.optional,Optional,,
quest.step.produce.many,"Produziere <b>{0} {1}</b>",,
quest.step.produce.one,"Produziere einmal <b>{0}</b>",,
quest.step.produce.tip,"Wege, <b>{0}</b> zu produzieren:{1}",,
quest.step.research,"Erforsche <b>{0}</b>",,"This line will ask the player to research a technology. I.e. »Research <b>Biotech</b>«"
quest.step.research.tip,"Öffne den <b>Forschungsbaum</b> und füge {0} (zu finden über den <b>Suchen</b>button) der Warteschlange hinzu.",,"{0} will be chain of research items, i.e. »Biotech → Vegetarian Food«"
quest.step.set.ship.forward.direction,"Setze den Kurs des Schiffes",,
quest.step.set.ship.forward.direction.tip,"Öffne das <b>{0}</b>overlay und wähle die <b>Schiffsflugrichtung</b>. Es sollte die deinen Triebwerken entgegengerichtete Richtung sein, aber du kannst die Triebwerke auch umsetzen und jede beliebige Richtung wählen.",,
quest.step.terraform,"Terraformiere <b>{0}</b>",,
quest.step.terraform.tip,"Um <b>{0}</b> zu terraformieren, musst du den <b>{1}</b> in der Nähe eines Planeten nutzen.",,"{0} will be the terraforming type (i.e. Biosphere), {1} will be device name (i.e. Biosphere Generator)"
quest.tasks.completed,"Abgeschl. Aufgaben",,
quest.tasks.current,"Aktuelle Aufgaben",,
quest.tasks.failed,"Fehlgeschl. Aufgaben",,
quests,Missionen,,
quests.active,Aktiv,,"Appears on buttons that switch tabs, should be short"
quests.available,Verfügb.,,"Appears on buttons that switch tabs, should be short"
quests.completed,Abgeschl.,,"Appears on buttons that switch tabs, should be short"
quests.failed,Fehlgeschl.,,"Appears on buttons that switch tabs, should be short"
quests.list.available,"Verfügbare Missionen",2022-09-21,
quests.list.completed,"Abgeschlossene Missionen",2022-09-21,
quests.list.failed,"Fehlgeschlagene Missionen",2022-09-21,
radar,Radar,,
radar.not.available,"Radar ist derzeit nicht verfügbar.",,
raid,Überfall,,
raid.avoided,"Eine gute Nachricht, Freunde! Wir sind den Räubern entwischt!",,"Referencing Prof. Hubert Farnsworth from »Futurama«"
random.color,"Zufällige Farbe",,
randomize,Zufällig,,
reach.work.spot,"Erreiche die Arbeitsstelle",,
reactor.efficiency,Reaktoreffizienz,,
reactor.efficiency.desc,"Eine relative Zahl, die angibt, wie effizient dieser Reaktor Brennstoff in Elektrizität umwandelt. Höhere Effizienz sorgt dafür, dass dieselbe Menge Brennstoff länger hält und so über die Brenndauer insgesamt mehr Elektrizität erzeugt wird. Verschiedene Reaktortypen besitzen unterschiedliche Effizienz. Durch Verbesserungsmodule kannst du die Effizienz erhöhen.",,
ready,Bereit,,
ready.for.expedition,"Bereit zur Expedition",,
ready.to.retry,"Bereit für erneuten Versuch",,
recently.cancelled.by.someone,"Jüngst durch jemand anderen abgebrochen",,
recharge,Wiederaufladen,,
recover,Bergen,,"[Weidengeist: Seems to relate to recovering lost items or beings. Check and confirm this.]"
reel.in,Einholen,,"[Weidengeist: Term used in fishing, here for the winch hook and anchor.]"
refill,Nachfüllen,,
refill.pet.bowl,"Futternapf nachfüllen",,
refill.priority,Nachfüllpriorität,,
refill.priority.help,"Die Nachfüllpriorität bestimmt, wie wichtig es ist, dieses Objekt automatisch nachzufüllen, wenn der Vorrat knapp wird. 0 verhindert das Nachfüllen vollständig, 9 hat oberste Priorität.",,
refocus,Neufokussieren,,"[Weidengeist: Context needed.]"
refresh,Aktual.,,"Verb. Used on a button that refreshes some list of items. Should be short."
refridgerator,Kühlschrank,,
reject,Ablehnen,,
rejected.by.worker,Abgelehnt,,
relationships,Beziehungen,,
relocate,Umsetzen,,
relocation.pending,"Soll umgesetzt werden",,
remove,Entfernen,,
remove.from.queue,"Aus Warteschl. entf.",,
rename,Umbenennen,,
repair,Reparieren,,
repairing,Repariert,,
repeat,Wiederholen,,
replace,Ersetzen,,
replace.object,"Objekt ersetzen",,
replacement.in.progress,"Wird ersetzt",,
req.material,"Benötigt {0}",,
req.nav.flight,"Erfordert Flugfähigkeit",,
req.skill,"Erfordert Fähigkeit {0}",,
request.count,"Empf. Befehle",,"A label for a number that shows how many times something was requested from a worker."
request.merchant.type,"Wähle eine Händlerart",,
request.wake.up,"Aufwachen befehlen",,
required.for.building,"Zum Bauen benötigt:",,
required.for.building.num,"Benötigt, um nach {0} Blaupausen zu bauen",,
required.for.crafting,"Zum Herstellen benötigt:",,
required.for.crafting.num,"Benötigt, um {0} Gegenstände herzustellen",,
required.skills,"Erforderliche Fertigkeiten",,
requires.oxygen,"Benötigt Sauerstoff",,
rescue.being,"Rette {0}",,"{0} will be the name of the being"
rescue.grounded.in.space,"Rettet ein im Weltraum gestrandetes Wesen",,
research.atmospherecontrol,Atmosphärenregulation,,
research.atmospheregeneration,Atmosphärengenerierung,,
research.autodoc,Autodoc,,
research.autokitchen,Autoküche,,
research.base,Basis,,
research.biospheregeneration,Biosphäregenerierung,,
research.biotech,Biotechnologie,,
research.blackholes,"Schwarze Löcher",,
research.cancel,"Forschung pausieren",,
research.cant.do.parallel,"Nicht genügend Ressourcen für <b>Simultanforschung</b>:<br>{0}",,"{0} will be something like »Research lacks Memory or Disk«. Displayed if multiple research items are running and this one cannot reserve the resources"
research.carrier,Frachter,,
research.cleaningbot,Reinigungsroboter,,
research.cloning,Klonen,,
research.clothing,Kleidung,,
research.coffee,Kaffee,,
research.communications,Kommunikation,,
research.complete,"Forschung abgeschlossen: <nobr><b>{0}</b></nobr><br>Neue Blaupausen freigeschaltet: {1}",,
research.complete.no.unlockables,"Forschung abgeschlossen: <nobr><b>{0}</b></nobr>",,
research.computing,Datenverarbeitung,,
research.computingadvanced,"Fortgeschr. Datenverarbeitung",,"[Weidengeist: Abbreviated to prevent overlaying the progress.]"
research.construction,Konstruktion,,
research.constructionadvanced,"Fortgeschrittene Konstruktion",,
research.constructionspeed,"Baugeschwindigkeit × 2",2022-05-30,
research.constructionspeed2,"Baugeschwindigkeit × 4",2022-05-30,
research.constructionspeed3,"Baugeschwindigkeit × 8",2022-05-30,
research.cooling,Kühlung,,
research.cryogenics,Kryotechnik,,
research.diskcompression,Datenkompression,,
research.memorycompression,Arbeitsspeicherkomprimierung,,
research.drone,Drohne,,
research.economy,Wirtschaft,,
research.economy.desc,"Schaltet das Wirtschaftsoverlay frei.",,
research.elysium,Elysium,,
research.elysium.desc,"Erlaubt die Umwandlung des Stasisfelds zum Elysium.",,
research.elysiumefficiency,Elysiumeffizienz,,
research.elysiumelectricity,Elysiumelektrizitätsproduktion,,
research.emblems,Embleme,,
research.energy,Energie,,
research.energy.limit,Forschungsenergielimit,,
research.energyadvanced,"Fortschrittliche Energie",,
research.energyautomation,Energieautomation,,
research.energyefficiency,Energieeffizienz,,
research.energynuclear,Kernenergie,,
research.energystorage,Energiespeicher,,
research.energystorageadvanced,Kernenergiespeicher,,
research.energyweapons,Energiewaffen,,
research.entertainment,Unterhaltung,,
research.forcefields,Kraftfelder,,
research.furniture,Möbel,,
research.furnitureadvanced,"Gehobene Ausstattung",,
research.heating,Heizung,,
research.hygiene,Hygiene,,
research.inefficient,"Ineffiziente Forschung",,
research.inefficient.tip,"Aktuelle <b>Forschung dauert länger</b>. Es gibt entweder <b>nicht genug überschüssige Elektrizität</b> oder nicht ausreichend viele aktive <b>Forschungsstationen</b>, um die volle Forschungskapazität auszuschöpfen. Klicke auf diese Benachrichtigung für weitere Informationen.",2022-10-24,
research.lacks.disk,"Forschung benötigt <b>Festplattenspeicher</b>",,
research.lacks.disk.and.memory,"Forschung benötigt <b>Festplatten</b>- und <b>Arbeitsspeicher</b>",,
research.lacks.memory,"Forschung benötigt <b>Arbeitsspeicher</b>",,
research.lacks.resources,"Der Forschung fehlen Ressourcen",,
research.largeplanter,"Großes Pflanzgefäß",,
research.lighting,Beleuchtung,,
research.liquidprocessing,Flüssigkeitsverarbeitung,,
research.manufacturing,Fertigung,,
research.manufacturingadvanced,"Fortgeschrittene Fertigung",,
research.mindcontrol,Gedankenkontrolle,,
research.molecularrearrangement,"Molekulare Neuordnung",,
research.not.powered,"Solange der Schiffscomputer keinen Strom hat, kann er keine Forschung betreiben. Verbinde den Schiffscomputer mit dem Stromnetz.",,
research.nutrientextraction,Nährstoffextraktion,,
research.oceangeneration,Ozeangenerierung,,
research.overclocking,Übertaktung,,
research.pending,"Forschung ausstehend",,
research.probe,Sonde,,
research.processingefficiency,Verarbeitungseffizienz,,
research.propulsion,Antrieb,,
research.propulsionadvanced,"Fortschrittlicher Antrieb",,
research.propulsionftl,FTL-Antrieb,,
research.quantumcomputing,Quanteninformatik,,
research.quantummechanics,Quantenmechanik,,
research.queue,Forschungswarteschlange,,
research.queue.count,"Forschungswarteschl.: {0}",,
research.recycling,Wiederaufbereitung,,
research.recyclingadvanced,"Fortschrittliche Wiederaufbereitung",,
research.researchstation,Forschungsstation,,
research.resourceprocessing,Ressourcenverarbeitung,,
research.resourceprocessingadvanced,"Fortgeschrittene Ressourcenverarbeitung",,
research.robot,Roboter,,
research.robotics,Robotik,,
research.roboticsadvanced,"Fortschrittliche Robotik",,
research.scanning,Scannen,,
research.science,Wissenschaft,,
research.security,Sicherheit,,
research.securitycontrols,Sicherheitssystemsteuerung,,
research.selfreplication,Selbstreplikation,,
research.sentry,Geschützdrohne,,
research.shuttle,Schiff,,
research.shuttleupgrades,Schiffsverbesserungen,,
research.smelting,Verhüttung,,
research.solaradvanced,"Fortgeschrittene Solartechnik",,
research.spacesuit,Raumanzug,,
research.spacetravel,Raumfahrt,,
research.starcredsmining,Starcredsförderung,,
research.start,"Forschung beginnen",,
research.stockinsights,Aktienmarkteinblicke,,
research.stockinsights.desc,"Schaltet zusätzliche Details über Aktienmarktinstrumente frei.",,
research.stockmarket,Aktienmarkt,,
research.stockmarket.desc,"Schaltet die Aktienmarktansicht mit Echtzeitpreisen und -diagrammen frei.",,
research.stocktrading,Aktienhandel,,
research.stocktrading.desc,"Schaltet den Handel mit Aktien frei.",,
research.storage,Forschungsspeicher,,
research.storage.details,"Gespeicherte Forschungen",,
research.technology,Technologie,,
research.technologyadvanced,"Fortschrittliche Technologie",,
research.telescope,Teleskop,,
research.temperaturecontrol,Temperaturregulation,,
research.terraforming,Terraformierung,,
research.terraingeneration,Terraingenerierung,,
research.tip.energy_kwh,"Gesamtmenge der benötigten Elektrizität, um diese Technologie vollständig zu erforschen.",,
research.tip.memory,"Menge an aktivem Arbeitsspeicher, die während der Forschung benötigt wird.<br>Abhängig von der Komplexität der Forschung.",,
research.tip.storage,"Erforderlicher permanenter Festplattenspeicher, um<br>die Forschungsergebnisse gespeichert zu halten.",,
research.tip.tier,"Forschungsstufe. Es kann notwendig sein, niederstufige Forschung abzuschließen, um zu höherstufiger Forschung voranschreiten zu können.",,
research.tractorbeam,Traktorstrahl,,
research.treadmill,Laufband,,
research.tree,Forschungsbaum,,
research.vegetarianfood,"Vegetarisches Essen",,
research.weaving,Weben,,
research.winch,Winde,,
researching,"Erforsche {0}",,
researching.pct,"Forschung: {0} ({1})",,
reservations,Reservierungen,,
reserved.by,"Reserviert von",,"This is a label next to a worker name who has reserved some resource – a pile of steel or an equipment item, etc."
reserved.by.detailed,"Reserviert von {0}",,"{0} is a being name"
reserved.for,"Reserviert für {0}",,"{0} is time. Example: »Reserved for 18h 12m«"
reset,Zurücksetzen,,
reset.input.bindings.tip,"Setzt alle Einstellungen auf die Standardwerte zurück.",,
reset.tips,"Tipps zurücksetzen",,
reset.to.defaults,"Auf Standardeinst. zurücks.",,
resource.accumulation.bar,"Ressourcenanhäufung: {0}",,
restart.now,"Jetzt neu starten",,
restart.required,"Neustart erforderlich",,
restart.required.info,"Um diese Änderung anzuwenden, musst du das Spiel komplett beenden und neustarten.",,
resume,Fortfahren,,
return,Zurückkehren,,
revert,"Rückgängig machen",,
riding.a.bot,"Reitet einen Roboter",,"This is for displaying what a being is currently doing. Right now it is used when a cat rides the cleaning robot."
rmb.behavior,"{0}verhalten über einem Gerät",,"{0} will be replaced by the image displaying either the right mouse button or the gamepad button that is bound to the same action"
rmb.behavior.context,"Gerätekontextmenü anzeigen",,
rmb.behavior.radial,"Radialmenü anzeigen",,
rmb.behavior.tooltip,"Wähle, was {0} tut, wenn es über einem nicht ausgewählten Gerät betätigt wird.",,
roam.around,Umherstreifen,,
roam.away,"Vom Arbeitsplatz entfernen",,
robot.required,"Roboter benötigt",,
role.destroy,"Rolle: Zerstören",,
role.play,"Rolle: Spielen",,
role.talk,"Rolle: Sprechen",,
role.work,"Rolle: Arbeit",,
room,Raum,,
room.ambient.light.amt,Raumbeleuchtung,,
room.ambient.light.amt.tip,"Passe an, wie dunkel abgeschlossene Bereiche ohne Lichtquellen aussehen. Du solltest in abgeschlossenen Räumen Lichtquellen installieren, um sie gut auszuleuchten.",,
room.id,"Raum #{0}",,
room.lighting,"Erweiterte Raumbeleuchtung",,
room.lighting.tip,"Wenn diese Option aktiviert ist, werden die Lichtquellen durch die Raumwände begrenzt. Kann die Performanz bei extrem großen Karten verbessern.",,
room.nr,"Raum #{0}",,
room.nr.unreachable,"Raum #{0} <color={1}><b>UNERREICHBAR!</b></color>",,
rotate.tip,"Mit {0} drehen",,
run.in.bg,"Im Hintergrund laufen lassen",,
run.research,"Forschung starten",,
safety.check.off,"Sicherheitsprüfung ausgeschaltet",,
safety.lacks.oxygen,"Objekt in unsicherem Bereich: <b>wenige Sauerstoff</b>",,
safety.lacks.oxygen.too.cold,"Objekt in unsicherem Bereich: <b>wenig Sauerstoff/zu kalt</b>",,
safety.lacks.oxygen.too.hot,"Objekt in unsicherem Bereich: <b>wenig Sauerstoff/zu heiß</b>",,
safety.too.cold,"Objekt in unsicherem Bereich: <b>zu kalt</b>",,
safety.too.hot,"Objekt in unsicherem Bereich: <b>zu heiß</b>",,
sandbox.mode,"Sandboxmodus: Ein",,
satisfying.hunger,"Stillt Hunger",,
save,"Speichern & Schließen",,
save.and.exit,"Speichern und zum Hauptmenü",,
save.and.exit.os,"Speichern und Beenden (zum OS zurückkehren)",,
save.deleted,"Speicherstand gelöscht",,
save.disabled,"Speichern deaktiviert",,
save.disabled.tutorial,"Speichern ist während des Tutorials nicht erlaubt.",,
save.error,Speicherfehler,,
save.failed,"Speichern fehlgeschlagen",,
save.failed.info,"Entwickler benachrichtigt. Fehlergrund: {0}.",,
save.file,"Datei speichern",,
save.info,"Startwert: {0} / {1} × {2}",,
save.load.anytime,"Jederzeit speichern/laden",,
save.migration,Spielstandmigration,,
save.migration.question,"Dieser Spielstand wurde in der <b>Stardeus</b>-Demo mit dem <b>zufälligen</b> Geschichtengenerator erstellt. Du kannst zum <b>ausgeglichenen</b> Geschichtengenerator wechseln, damit die Geschichte zu Beginn des Spiels behutsam mit dir umgeht.<br><br>Bitte bestätige den Geschichtengenerator, den du verwenden möchtest.",,
save.playtime,Spielzeit,,
save.time,"Zeit auf dem Spielstand: {0}",,
saved,Gespeichert,,"Notification about successfully saved game"
scan,Scannen,,
scan.progress,Scanfortschritt,,
scenario.empty_ship,"Leeres Schiff",,
scenario.empty_ship.tooltip,"Starte mit zufallsgeneriertem leeren Raumschiff",,
scenario.leaving_earth,"Verlassen der Erde",,
scenario.leaving_earth.tooltip,"Starte mit einer kleinen Plattform und einer Tonne an Materialien.",,
scenario.random_ship,"Zufälliges Schiff",,
scenario.random_ship.tooltip,"Starte mit funktionstüchtigem zufallsgenerierten Raumschiff",,
scenario.sandbox,Sandbox,,
scenario.sandbox.tooltip,"Starte im leeren Weltraum mit sofort verfügbaren Bauoptionen (Kreativmodus)",,
scenario.wrecked_empty_ship,"Schiffbruch (Hauptszenario)",,
scenario.wrecked_ship,"Schiffbruch mit Zeugs",,
screen.shake,Bildschirmwackeln,,
scroll.speed.tip,"Passt die Geschwindigkeit des Mausradscrollens in Benutzeroberflächenelementen an (gilt nicht für den Forschungsbaum und die Sternenkarte).",,
search,Suchen,,
search.for,"Suchen nach",,
searching,Suche,,
searching.for.clothing,"Suche nach Kleidung",,
searching.for.headgear,"Suche nach Kopfbedeckungen",,
searching.for.merchant,"Suche nach Händler",,
searching.for.weapon,"Suche nach Waffe",,
section,Bereich,,
sections,Bereiche,,
security.controls,Sicherheitssystemsteuerung,,
security.controls.missing,"Steuereinheit fehlt",,
security.controls.missing.info,"Diese Funktion erfordert eine Verbindung zu einem Steuergerät für Sicherheitssysteme. Erforsche <b>Sicherheitssystemsteuerung</b>, um die entsprechende Blaupause zu erhalten.",,
seed.randomize,"Zufälliger Startwert",,
seeking.medical.attention,"Sucht medizinische Hilfe",,
seeking.relief,"Sucht Erleichterung",,"This is about a being looking for a toilet"
select,Auswählen,,
select.ammo,"Munitionstyp wählen",,
select.crew,"Besatzung wählen",,
select.energy.source,"Energiequelle wählen",,
select.food,"Lebensmittel wählen",,
select.fuel,"Treibstofftyp wählen",,
select.material,"Material wählen",,
select.plant,"Pflanze wählen",,
select.processable,"Verarbeitbares wählen",,
select.projectile,"Projektil wählen",,
select.shuttle,"Schiff wählen",,
select.skill,"Fähigkeit wählen",,
select.target,"Ziel wählen",,
select.target.material,"Zielmaterial wählen",,
select.terraforming.material,"Terraformierungsmaterial wählen",,
select.upgrade,"Verbesserungsmodul wählen",,
select.worker,"Arbeiter wählen",,
self.repair,Selbstreparatur,,
sell,Verkaufen,,
settings.not.applied,"Einstellungen nicht übernommen",,
settings.not.applied.info,"Du hast das Einstellungmenü geschlossen, ohne Änderungen anzuwenden. Willst du sie jetzt anwenden?",,
settle.in,"{0} kolonisieren",,
settle.in.combat,"Niederlassen nicht möglich, solange ein Kampf stattfindet",,
settle.in.confirm,"Das ist es. Du bist dabei, deinen Zweck als Schiffscomputer zu erfüllen. Bitte bestätige die Absicht, deine menschlichen Kolonisten auf {0} anzusiedeln.<br><br>Diese Handlung wird das Stasisfeld und die meisten deiner Kolonisten entfernen, abgesehen von jenen, die sich entscheiden, zu bleiben und das Universum weiter zu erkunden.",,
settle.in.expeditions,"Niederlassen nicht möglich, solange eine Expedition stattfindet.",,
settled.in,"{0} kolonisiert",,
settling.in,"Kolonisiere {0}",,
shift.goto,"Klicke {0}, während du {1} gedrückt hältst, um hierhin zu fliegen.",,
ship.accelerating,"Schiff beschleunigt",,
ship.capable.intergalactic,"Intergalaktischer Flug",,
ship.capable.interplanetary,"Interplanetarer Flug",,
ship.capable.intersystem,"Intersystemischer Flug",,
ship.computer.destroyed,"<size=200%>Schiffscomputer wurde zerstört</size>",,
ship.cpu.deconstruct.damaged,"Abbruch der Dekonstruktion. Der beschädigte Schiffscomputer kann nicht sicher demontiert werden. Repariere zuerst den Schaden.",,
ship.decelerating,"Schiff verlangsamt sich",,
ship.direction,Schiffsflugrichtung,,
ship.direction.not.set,"Schiffsflugrichtung nicht gesetzt. Sie muss im Schiffssteuerungsoverlay gesetzt werden.",,
ship.direction.set,"Flugrichtung des Schiffs wählen",,
ship.direction.unset,"Flugrichtung aufheben",,
ship.engines.offline,"Triebwerke sind offline (keine Energie oder nicht verbunden)",,
ship.engines.ready,"Triebwerke online",,
ship.flight.impossible,"Das Schiff kann aus folgenden Gründen derzeit nicht gesteuert werden:<br><br>{0}",,
ship.flight.ready,"Schiff ist flugbereit",,
ship.has.bridge.controls,"Brückensteuerung online",,
ship.has.bridge.controls.operator,"Brückenbediener verfügbar",,
ship.in.one.piece,"Schiff ist in einem Stück",,
ship.log,Schiffslogbuch,,
ship.must.be.stopped.first,"Diese Handlung kann nicht durchgeführt werden, solange das Schiff in Bewegung ist.",,
ship.navigation,Schiffssteuerung,,
ship.no.bridge.controls,"Brückensteuerung offline",,
ship.no.bridge.controls.operator,"Kein Brückenbediener",,
ship.no.engines,"Triebwerke offline",,
ship.not.in.one.piece,"Schiff nicht in einem Stück",,
shooter,Schütze,,"For displaying the name of the person who fired a bullet. You can inspect a bullet to see who is the shooter."
short.title,Kurztitel,,
shortcut.not.bound,"(nicht zugewiesen)",,
shortcut.tip,"Schnelltaste: {0}",,
show,Anzeigen,,
show.areas,"Räume anzeigen",,
show.build.guidelines,"Hilfslinien für den Baumodus",,
show.destination,"Ziel anzeigen",,
show.engines,Triebwerke,,
show.hints.after.load,"Zeige Hinweise nach dem Laden",,
show.research.tree,"Forschung öffnen",,
shower,Dusche,,
shower.dirty,"Dusche ist verstopft",,
shutdown,Herunterfahren,,
shuttle,Schiff,,
shuttle.crew.full,"Dieses Schiff kann keine weiteren Besatzungsmitglieder aufnehmen.",,
shuttle.damaged,"Schiff ist beschädigt",,
shuttle.damaged.desc,"Das Schiff muss erst repariert werden, bevor es zu Expeditionen aufbrechen kann.",,
shuttle.has.pending.task,"Schiff hat eine ausstehende Aufgabe",,
shuttle.has.pending.task.desc,"Dieses Schiff kann nicht verwendet werden, da es eine ausstehende Aufgabe hat. Brich die Aufgabe ab oder warte, bis sie abgeschlossen ist.",,
shuttle.lost.info,"Dieses Schiff ist verloren und kann nicht mehr geborgen werden. Du solltest den Landeplatz entfernen.",,
shuttle.storage.full,"Schiff ""{0}"" bricht den aktuellen Bergbauprozess ab; das Frachtlager ist voll.",,
silence,Stille,,
silence.periods.none,Keine,,
siren.active,Aktiv,,
siren.armed,Bewaffnet,,
siren.off,"Sirene aus",,
situation,Situation,,
situation.ActiveThreats,"Aktive Bedrohungen",,
situation.Areas,Räume,,
situation.BaseNetWorth,"Vermögen der Basis",,
situation.BreakdownCandidates,"Kandidaten für einen Nervenzusammenbruch",,
situation.Breakdowns,Nervenzusammenbrüche,,
situation.Colonists,Kolonisten,,
situation.Days,"Überlebte Tage",,
situation.Difficulty,Schwierigkeit,,
situation.Enemies,Feinde,,
situation.ExpeditionsCompleted,"Abgeschlossene Expeditionen",,
situation.ExpeditionsOngoing,"Laufende Expeditionen",,
situation.Friendlies,Freundlichgesinnte,,
situation.GridBatCharge,Batterieladestand,,
situation.GridBatOutput,Batteriereserve,,
situation.GridConsumption,Netzauslastung,,
situation.GridDeficit,Netzdefizit,,
situation.GridMaxOutput,"Max. Netzleistung",,
situation.Grids,Stromnetze,,
situation.GridSize,"Anzahl elektrischer Geräte",,
situation.HumanDeaths,"Tode freundlichgesonnener Menschen",,
situation.Islands,Inseln,,
situation.Mats,Materialien,,
situation.Months,"Überlebte Monate",,
situation.NetWorth,Eigenkapital,,
situation.Personas,Personas,,"[Weidengeist: This term exists in German in the field of psychology, so it’s the same as in English.]"
situation.ResearchedTech,"Erforschte Technologie",,
situation.ShipComputers,"Angeschlossene Schiffscomputer",,
situation.SpaceObjectsDiscovered,"Entdeckte Weltraumobjekte",,
situation.StoryEvents,Geschichtenereignisse,,
situation.TotalCPU,CPU-Gesamtleistung,,
situation.TotalDisk,"Gesamter Festplattenspeicher",,
situation.TotalMemory,"Gesamter Arbeitsspeicher",,
situation.Weeks,"Überlebte Wochen",,
situation.Workers,Arbeiter,,
situation.Years,"Überlebte Jahre",,
size.large,Groß,,
size.medium,Mittel,,
size.small,Klein,,
skill.Cleaning,Reinigung,,
skill.Construction,Konstruktion,,
skill.lvl,"Stufe {0}/{1}",,
skill.maxed.out,"Diese Fertigkeit ist bereits auf der höchsten Stufe.",,
skill.Mining,Bergbau,,
skill.Navigation,Navigation,,
skill.Operate,Bedienung,,
skill.Repair,Reparatur,,
skill.Science,Wissenschaft,,
skill.up,"{0} in {1} (Stufe {2}) aufgestiegen",,"{0} is being name, {1} is skill name {2} is level (number). Example: »John Construction level up to 4«"
skill.Wisdom,Weisheit,,
skills,Fertigkeiten,,
skills.info,"Die Fertigkeiten der Wesen bestimmen, welche Aufgaben sie bearbeiten können. Fertigkeiten steigen mit der Zeit auf, wenn sie eingesetzt werden.",,
skip,Überspringen,,
skip.reason,"Übersprungen wegen: {0}",,"Answers the question why a task is not being done."
skip.tutorial,Überspringen,,
skip.tutorial.confirm,"Möchtest du die Einführung überspringen? Es wird dringend empfohlen, sie durchzugehen, wenn du mit dem Spiel nicht vertraut bist.",,
sleep.interrupted,"Der Schlaf wurde unterbrochen",,
sleeping,Schläft,,
sleeping.slots,Schlafplätze,,
sleeping.slots.pets,"Schlafplätze (Haustiere)",,
slept.in.bed,"In einem Bett geschlafen",,
slept.in.familiar.bed,"In einem vertrauten Bett geschlafen",,
slept.in.unfamiliar.bed,"In einem nicht vertrauten Bett geschlafen",,
slept.too.short,"zu kurz geschlafen",,
slog.expedition,"Expedition zu {0}",,
slog.identify,"{0} identifiziert",,"{0} will be the space object name, i.e. a planet name or a space ship name, etc."
slog.leave,"Verlasse {0}",,
slog.trade,"Handel mit {0}",,
slog.visit,"Besuche {0}",,
smelt.ore,"Erz verhütten",,
smelting.bar,"Schmelze {0}",,
smooth.drag,"Sanftes Ziehen",,
smooth.drag.tip,"Beeinflusst den Mausziehmodus. Wenn aktiviert, wird er weich und schwammig ausfallen, scharf und präzise hingegen, wenn deaktiviert. Wenn du deine Spiele aufnimmst oder streamst, wird es für die Zuschauer ein besseres Bild geben, wenn du diese Option eingeschaltet lässt.",,
so.identified,"Identifiziert: {0}",,
so.not.identified,"Nicht identifiziert",,
so.not.identified.info,"Dieses Weltraumobjekt ist nicht identifiziert. Du musst näher heran, um mehr Details zu erfahren.",,
socialized.with,"Hat mit {0} Kontakt geknüpft",,
socializing,"Knüpft Kontakte",,
soft.cursor.tip,"Du solltest den Softwaremauszeiger bei der Aufnahme von Gameplayvideos aktivieren, wenn deine Gamecapturesoftware den Hardwaremauszeiger nicht aufzeichnet.",,
soiled.themselves,"Hat in die Hose gemacht",,
solar.panel,Solarpaneel,,
solar.panel.dust,"Staub: {0}",,
solar.panel.dust.warn,"Solarpaneel mit Staub bedeckt",,
soon,bald,,"Displayed when something is going to happen very soon (countdown timer is down to 0). Should be short."
sort,Sortieren,,
sort.count,"Nach Anzahl",,
sort.name,"Nach Name",,
sort.value,"Nach Wert",,
soundtrack,Soundtrack,,
space.diarrhea.ongoing,"Anhaltende Weltraumdiarrhöe",,
space.object.BlackHole,"Schwarzes Loch",,
space.object.Galaxy,Galaxie,,
