Key,Translation,Version,Comment (context for translators)
quest.details,Detale,,"Displayed on a small button, should be short"
quest.EncloseStasisArray,Stwórz ciśnienie w pomieszczeinu z Komorą Zastoju,,
quest.EncloseStasisArray.desc,"Aby zapewnić bezpieczeństwo kolonistom, obszar wokół <b>Komory Zastoju</b> musi być całkowicie zamknięty, <b>Szczelny</b> i <b>Izolowany</b>.",,
quest.EstablishFoodProduction,Ustal Produkcję Żywności,,
quest.EstablishFoodProduction.desc,"Nasze zapasy żywności się kończą. Ocaleni mogą gotować sami, ale musimy zapewnić im niezbędne do tego narzędzia.",,
quest.FindHabitablePlanet,Znajdź Planetę Nadającą się do Zamieszkania,,
quest.FindHabitablePlanet.desc,Naszą pierwotną misją było znalezienie <b>Zamieszkalnej Planety</b> dla naszych <b>Ludzkich Ocalałych</b>. W tym momencie jesteśmy gotowi ponownie skupić się na tej misji.,,
quest.HailAMerchant,Przywołaj Kupca,,
quest.HailAMerchant.desc,"Jeśli mamy <b>Komunikator</b> i <b>Teleporter</b>, możemy handlować z innymi statkami. Upewnijmy się, że mamy sposób jak to zrobić, zanim zabraknie nam niezbędnych materiałów.",,
quest.info,Zadanie: <b>{0}</b><br><br>{1}<br><br>{2},,"{0} will be quest title (i.e. ""Defeat the dragon""). {1} will be a long description, {2} will be a list of rewards"
quest.MakeShipFlightReady,Przygotuj Statek do Lotu,,
quest.MakeShipFlightReady.bridge.controls.tip,"<b>Mostek Sterowania</b> zapewni nam dostęp do <b>Mapy Gwiezdnej</b>, dzięki czemu w końcu będziemy mogli zobaczyć nasze położenie we Wszechświecie.",,
quest.MakeShipFlightReady.desc,"Musimy przywrócić zdolność naszego statku do lotów kosmicznych. W ten sposób możemy dotrzeć do pobliskiej planety i przeprowadzić kilka wypraw górniczych, aby zebrać więcej zasobów.",,
quest.MakeShipFlightReady.thruster.tip,"Jeśli będziemy mieli szczęście, gdzieś we wraku będzie przynajmniej jeden nadający się do naprawy <b>Silnik Odrzutowy</b>. Jeśli nie, być może będziemy musieli przeprowadzić dodatkowe badania, aby zdobyć jego plan.",,
quest.new,Nowe zadanie: <b>{0}</b><br><br>{1}<br><br>{2},,"{0} will be quest title (i.e. ""Defeat the dragon""). {1} will be a long description, {2} will be a list of rewards"
quest.no.active,Brak Aktywnego Zadania,,
quest.no.active.many.available.tip,"Liczba dostępnych <b>{0} zadań</b>: {1}<br>Ustaw zadanie jako <b>Aktywne</b>, aby rozpocząć śledzenie jego postępów.",,{0} is a number (2 or greater). {1} will be the list of quest names
quest.no.active.one.available.tip,"<b>Dostępne jest jedno zadanie</b>: {0}<br>Ustaw zadanie jako <b>Aktywne</b>, aby rozpocząć śledzenie jego postępów.",,{0} is the quest name
quest.pause,Pauza,,"Deactivates the quest, or stops following it. Should be short text, displayed on a fairly small button"
quest.ProvideChargeStation,Zbuduj Stację Ładującą,,
quest.ProvideChargeStation.build.connector.tip,"Wszystkie urządzenia muszą być połączone poprzez sieć <b>Łączników</b>. Zbuduj Łącznik i użyj narzędzia <b>Połącz</b>, aby połączyć je z <b>Komputerem Pokładowym</b>, a następnie z <b>Reaktorem Materii</b>.",,
quest.ProvideChargeStation.build.reactor.tip,"Mimo że <b>Komputer Pokładowy</b> sam generuje niewielką ilość energii, nie jest ona wystarczająca. <b>Reaktor Materii</b> może spalać niemal każdy rodzaj materiału, aby wytworzyć energię elektroenergetyczną.",,
quest.ProvideChargeStation.configure.reactor,Skonfiguruj <b>Reaktor Materii</b>,,
quest.ProvideChargeStation.configure.reactor.tip,"Wybierz <b>Reaktor Materii</b> i użyj Panelu Informacyjnego w lewym górnym rogu, aby skonfigurować go do spalania konkretnego rodzaju paliwa. Polecamy <b>Stalową Blachę</b>, ponieważ ma przyzwoitą moc wyjściową i jest łatwy do zdobycia.",,
quest.ProvideChargeStation.desc,"Musimy zadbać przede wszystkim o to, aby nasi robotnicy mieli możliwość ladowania własnych baterii.",20.09.2022,
quest.reward.research.discover,Nowe Badania: <b>{0}</b>,20.09.2022,Displayed in a list of rewards. This will reveal a new research tree branch. {0} is the technology name.
quest.reward.research.progress,Postęp Badań: <b>{0}</b>: <b>+{1}</b>,,"Example: ""Research Progress: Biotech: +20%"""
quest.reward.research.unlock,Odblokuje Badanie: <b>{0}</b>,,Displayed in list of rewards. This will unlock a technology with name {0}
quest.rewards,Nagrody,,
quest.set.active,Ustaw Aktywne,,"Displayed on a small button, should be short"
quest.show,Pokaż Zadanie,,
quest.show.all,Pokaż Zadania,,
quest.step.build.many,Zbuduj <b> {0} {1}</b>,,"{0} will be a multiplier, {1} will be the device name. Example: ""Build <b>x2 Matter Reactor</b>"""
quest.step.build.one,Zbuduj <b>{0}</b>,,"{0} will be the device name. Example: ""Build a <b>Matter Reactor</b>"""
quest.step.build.tip,Plan tego elementu znajdziesz w <b>Menu Narzędzi</b>:<br>{0},16.08.2023,
quest.step.build.tip.search,"Wskazówka: Użyj <b>Szybkiego Wyszukiwania</b> ({0}), aby <b>znaleźć dowolny plan</b>, wpisując jego nazwę.",,
quest.step.chain.connectors,Zbuduj łańcuch Łączników,,
quest.step.colonize,Skolonuzuj <b>Zamieszkalną Planetę</b>,26.09.2022,
quest.step.colonize.tip,To jest nasz główny cel. Musimy osiedlić się na całkowicie terraformowanej planecie i pozwolić naszym kolonistom żyć szczęśliwym życiem.<br><br>Będziemy mogli kontynuować naszą podróż po osiągnięciu tego celu.,,
quest.step.completed,<b>Ukończono [{0}/{1}]</b>: {2},21.09.2022,"{0}/{1} will be numbers. {2} will be a task from the quest., Example: ""<b>Done [4/8]: Build a Matter Reactor"""
quest.step.configure.crafter,Zacznij produkować <b>{0}</b>,,
quest.step.configure.crafter.tip,"Wybierz <b>{0}</b> i skonfiguruj go tak, aby produkował <b>{1}</b>. Może być konieczne zwiększenie ilości docelowej, w przeciwnym razie urządzenie pozostanie bezczynne.",,
quest.step.connect.to,Podłącz do <b>{0}</b>,,"{0} will be a device name, i.e. Connect to the Stasis Array"
quest.step.enclose,Uszczelnij <b>{0}</b>,23.09.2022,"{0} is the device name (i.e. Stasis Array). Context: It will ask the player to enclose the device with walls, close all doors, vents and repair the damage. Tooltip below will explain it."
quest.step.enclose.tip,"Zbuduj <b>Ściany</b> i <b>Podłogi</b>, aby stworzyć całkowicie szczelne pomieszczenie wokół <b>{0}</b>.<br><br>Otwórz nakładkę <b>Pomieszczenia</b>, aby wyświetlić listę aktualnie zamkniętych obszarów.",23.09.2022,{0} is the device name (i.e. Stasis Array)
quest.step.find.habitable.planet,Odkryj <b>Zamieszkalną Planetę</b>,,
quest.step.find.habitable.planet.tip,"Użyj <b>Teleskopu</b>, aby przeszukać obserwowalny Wszechświat w poszukiwaniu <b>Zamieszkalnej Planety</b>. Gdy już ją znajdziesz, obierz ją za kurs i rozpocznij badania nad <b>Terraformowaniem</b>.",,
quest.step.hail.a.merchant,Przywołaj Kupca,,
quest.step.hail.a.merchant.tip,"Użyj <b>Komunikatora</b>, aby aktywować <b>Sygnał dla Kupców</b>. Upewnij się, że komunikator jest dostępny dla ludzkiego kolonisty, ponieważ to on będzie za ciebie handlował.",,
quest.step.have.on.grid.many,Zbuduj i Podłącz <b>{0} {1}</b>,,"{0} will be a multiplier, {1} will be the device name. Example: ""Build and Connect <b>x2 Matter Reactor</b>"""
quest.step.have.on.grid.one,Zbuduj i Podłącz <b>{0}</b>,,"{0} will be the device name. Example: ""Build and Connect a <b>Matter Reactor</b>"""
quest.step.have.one.section,Połącz Wszystkie Sekcje Statku,,
quest.step.have.one.section.tip,"Aby podróżować w kosmosie, musimy mieć nasz statek w jednym kawałku. Użyj <b>Haka Wciągarki</b> i <b>Kotwicy Wciągarki</b> lub zbuduj podłogi, aby połączyć ze sobą oddzielone sekcje. Więcej informacji znajdziesz w nakładce <b>Sekcje</b>.",,
quest.step.make.accessible,Zapewnij dostęp do {0},,{0} is the device name (i.e. Stasis Array)
quest.step.make.accessible.tip,"Aby obszar był dostępny, musi mieć co najmniej jedne <b>Drzwi</b>. Drzwi powinny ostatecznie prowadzić do <b>Wyjścia na Zewnątrz</b>.<br><br>Użyj nakładki <b>Pokoje</b>, aby zobaczyć, które obszary są niedostępne z zewnątrz.",,
quest.step.make.airtight,Stwórz ciśnienie w pomieszczeinu z {0},,{0} is the device name (i.e. Stasis Array)
quest.step.make.airtight.tip,"Aby wytworzyć ciśnienie w pomieszczeniu:<br> - <b>Napraw</b> uszkodzone konstrukcje<br> - <b>Podłącz</b> wszystkie <b>Drzwi</b> i <b>Otwory Wentylacyjne</b> do sieci elektrycznej.<br> - <b>Zamknij</b> otwory wentylacyjne, jeśli są skierowane na otwartą przestrzeń.<br><br>Aby uzyskać więcej informacji, zapoznaj się z nakładkami <b>Szczelności</b>, <b>Izolacji</b> i <b>Pomieszczeń</b>.",,
quest.step.make.ship.flight.ready,Przygotuj Statek do Lotu,,
quest.step.make.ship.flight.ready.tip,"Przejdź przez kontrolę gotowości do lotu w nakładce <b>{0}</b> i upewnij się, że jesteśmy gotowi na <b>Lot Międzyplanetarny</b>.",,
quest.step.optional,Opcjonalne,,
quest.step.produce.many,Wyprodukuj <b>{0} {1}</b>,,
quest.step.produce.one,Wyprodukuj <b>{0}</b>,,
quest.step.produce.tip,Sposoby wyprodukowania <b>{0}</b>:{1},,
quest.step.research,Zbadaj <b>{0}</b>,,"This line will ask the player to research a technology. I.e. ""Research <b>Biotech</b>"""
quest.step.research.tip,"Odblokuj {0} w <b>Drzewku Badań</b>. Aby to znaleźć, możesz użyć przycisku <b>Szukaj</b>.",08.08.2023,"{0} will be chain of research items, i.e. ""Biotech > Vegetarian Food"""
quest.step.set.ship.forward.direction,Ustal Przód Statku,,
quest.step.set.ship.forward.direction.tip,"Otwórz nakładkę <b>{0}</b> i wybierz <b>Ustal Przód Statku</b>. Kierunek powinien być odwrotny do silników, ale możesz je przenieść i wybrać dowolny kierunek.",,
quest.step.terraform,Sterraformuj <b>{0}</b>,,
quest.step.terraform.tip,"Aby poddać <b>{0}</b> terraformacji, musisz użyć <b>{1}</b> w pobliżu planety nadającej się do terraformacji.",,"{0} will be the terraforming type (i.e. Biosphere), {1} will be device name (i.e. Biosphere Generator)"
quest.tasks.completed,Ukończone Zadania,,
quest.tasks.current,Aktualne Zadania,,
quest.tasks.failed,Nieudane Zadania,,
quests,Zadania,,
quests.active,Aktywne,,"Appears on buttons that switch tabs, should be short"
quests.available,Dostępne,,"Appears on buttons that switch tabs, should be short"
quests.completed,Ukończone,,"Appears on buttons that switch tabs, should be short"
quests.failed,Nieudane,,"Appears on buttons that switch tabs, should be short"
quests.list.available,Dostępne Zadania,21.09.2022,Used as a list header for this quest type
quests.list.completed,Ukończone Zadania,21.09.2022,Used as a list header for this quest type
quests.list.failed,Nieudane Zadania,21.09.2022,Used as a list header for this quest type
radar,Radar,,
radar.not.available,Radar jest w tej chwili niedostępny,,
raid,Rajd,,
raid.avoided,Świetna wiadomość! Uniknęliśmy najeźdźców!,,
random.color,Losowy Kolor,,
randomize,Losuj,,
reach.work.spot,Dotrzyj do miejsca pracy,,
reactor.efficiency,Efektywność Reaktora,,
reactor.efficiency.desc,"Liczba pokazująca, jak skutecznie ten reaktor przekształca paliwo w energię elektryczną. Wyższa wydajność sprawi, że ta sama ilość paliwa wystarczy na dłużej, co z czasem pozwoli wytworzyć więcej energii elektrycznej. Różne typy reaktorów mają różną wydajność. Możesz zwiększyć wydajność, instalując moduły ulepszeń.",,
ready,Gotowe,,
ready.for.expedition,Gotowe na Wyprawę,,
ready.to.retry,Gotowe do powtórzenia,,
recently.cancelled.by.someone,Zostało anulowane przez kogoś innego,,
recharge,Naładuj Ponownie,,
recover,Odzyskaj,,
reel.in,Przyciągnij,,
refill,Napełnij,,
refill.pet.bowl,Napełnij miskę zwierzaka,,
refill.priority,Priorytet Napełniania,,
refill.priority.help,"Priorytet Napełniania określa wagę automatycznego uzupełniania tego obiektu, gdy zapasy się wyczerpią. Wartość 0 całkowicie uniemożliwi ponowne napełnienie, natomiast wartość 9 ma najwyższy priorytet.",,
refocus,Powrót,,Used on a button that finds your space ship in the starmap. It focuses the camera on your ship. Also used in Researc Tree to quickly find and focus the camera on the technology that you are currently researching. Should be short.
refresh,Odśwież,,Verb. Used on a button that refreshes some list of items. Should be short.
refridgerator,Lodówka,,
reject,Odrzuć,,
rejected.by.worker,Odrzucone,,
relationships,Związki,,
relocate,Przenieś,,
relocation.pending,Oczekuje na Przeniesienie,,
remove,Usuń,,
remove.from.queue,Usuń z Kolejki,,
rename,Zmień nazwę,,
repair,Napraw,,
repairing,Naprawiane,,
repeat,Powtórz,,
replace,Zamień,,
replace.object,Zamień Objekt,,
replacement.in.progress,Oczekuje na Zamiane,,
req.material,Potrzebuje: {0},,
req.nav.flight,Potrzebuje umiejętności latania,,
req.skill,Potrzebuje umiejętności: {0},,
request.count,Liczba żądań,,A label for a number that shows how many times something was requested from a worker.
request.merchant.type,Wybierz Typ Handlarza,,
request.wake.up,Zleć Wybudzenie,,
required.for.building,Potrzebne do wybudowania:,,
required.for.building.num,Potrzebne do {0} planów,,
required.for.crafting,Potrzebne do stworzenia:,,
required.for.crafting.num,Potrzebne do stworzenia {0} przedmiotów,,
required.skills,Wymagane Umiejętności,,
requires.oxygen,Potrzebuje Tlenu,,
rescue.being,Uratuj {0},,{0} will be the name of the being
rescue.grounded.in.space,Uratuj istotę która utknęła w kosmosie,,
research.atmospherecontrol,Kontrola Atmosfery,,
research.atmospheregeneration,Generacja Atmosfery,,
research.autodoc,AutoDoc,,
research.autokitchen,Automatyczna Kuchenka,,
research.base,Baza,,
research.biospheregeneration,Generacja Biosfery,,
research.biotech,Biotechnologia,,
research.blackholes,Czarne Dziury,,
research.cancel,Wstrzymaj Badania,,
research.cant.do.parallel,Za mało zasobów na <b>Badanie Równoległe</b>:<br>{0},,"{0} will be something like ""Research lacks Memory or Disk"". Displayed if multiple research items are running and this one cannot reserve the resources"
research.carrier,Przewoźnik,,
research.cleaningbot,Bot do Czyszczenia,,
research.cloning,Klonowanie,,
research.clothing,Odzież,,
research.coffee,Kawa,,
research.communications,Komunikacja,,
research.complete,Ukończone badanie: <nobr><b>{0}</b></nobr><br>Odblokowano nowe plany: {1},,
research.complete.no.unlockables,Ukończone badanie: <nobr><b>{0}</b></nobr>,,
research.computing,Przetwarzanie Danych,,
research.computingadvanced,Zaawansowane Obliczanie Danych,,
research.construction,Konstrukcje,,
research.constructionadvanced,Zaawansowane Konstrukcje,,
research.constructionspeed,Szybkość Konstrukcji x2,30.05.2022,
research.constructionspeed2,Szybkość Konstrukcji x4,30.05.2022,
research.constructionspeed3,Szybkość Konstrukcji x8,30.05.2022,
research.cooling,Chłodzenie,,"Label on research technology node that contains devices like ""cooler"" and ""heat sink"""
research.cryogenics,Kriogenika,,
research.diskcompression,Kompresja Dysku,,
research.memorycompression,Kompresja Pamięci,,
research.drone,Dron,,
research.economy,Ekonomia,,
research.economy.desc,Odblokowuje Nakładkę Ekonomii,,
research.elysium,Elizjum,,
research.elysium.desc,Umożliwia przemianę Komory Zastoju w Elizjum,,
research.elysiumefficiency,Efektywność Elizjum,,
research.elysiumelectricity,Produkcja Elektryczności Elizjum,,
research.emblems,Emblematy,,
research.energy,Energia,,
research.entertainment,Rozrywka,,
research.energy.limit,Limit Energetyczny Badań,,
research.energyadvanced,Zaawansowana Energia,,
research.energyautomation,Automacja Energii,,
research.energyefficiency,Efektywnośc Energii,,
research.energynuclear,Energia Nuklearna,,
research.energystorage,Magazynowanie Energii,,
research.energystorageadvanced,Magazynowanie Energii Nuklearnej,,
research.energyweapons,Broń Energetyczna,,
research.forcefields,Pole Siłowe,,
research.furniture,Meble,,
research.furnitureadvanced,Zaawansowane Meble,,
research.heating,Ocieplenie,,
research.hygiene,Higiena,,
research.inefficient,Zwiększenie Pojemności Badań,14.01.2023,
research.inefficient.tip,"Obecne <b>badania będą trwały dłużej</b>. Nie ma <b>wystarczającej ilości zapasowej energii</b> lub nie ma wystarczająco dużo aktywnych <b>Stacji Badawczych</b>, aby prowadzić badania z pełną wydajnością. Kliknij to powiadomienie, aby uzyskać więcej informacji.",24.10.2022,
research.lacks.disk,Brakuje <b>Dysku</b> do badań,,
research.lacks.disk.and.memory,Brakuje <b>Dysku</b> i <b>Pamięci</b> do badań,,
research.lacks.memory,Brakuje <b> Pamięci</b> do badań,,
research.lacks.resources,Brakuje zasobów do badań,,
research.largeplanter,Duża Sadzawka,,
research.lighting,Oświetlenie,,
research.liquidprocessing,Przetwarzanie Płynów,,
research.manufacturing,Fabrykacja,,
research.manufacturingadvanced,Zaawansowana Fabrykacja,,
research.mindcontrol,Kontrola Umysłu,,
research.molecularrearrangement,Przemiana Molekularna,,
research.not.powered,"Nie można wyświetlić badań, gdy Komputer Pokładowy nie jest zasilany. Podłącz Komputer Pokładowy do sieci elektrycznej.",,
research.nutrientextraction,Ekstraktor Składników Odżywczych,,
research.oceangeneration,Generacja Oceanów,,
research.overclocking,Taktowanie Procesora,,
research.pending,Oczekujące Badanie,,
research.probe,Sonda,,
research.processingefficiency,Efektywność Procesowania,,
research.propulsion,Napęd,,
research.propulsionadvanced,Zaawansowany Napęd,,
research.propulsionftl,Napęd Nadświetlny,,
research.quantumcomputing,Kwantowe Obliczanie,,
research.quantummechanics,Mechanika Kwantowa,,
research.queue,Kolejka Badań,,
research.queue.count,Kolejka Badań: {0},,
research.recycling,Recykling,,
research.recyclingadvanced,Zaawansowany Recykling,,
research.researchstation,Stacja Badawcza,,
research.resourceprocessing,Procesowanie Zasobów,,
research.resourceprocessingadvanced,Zaawansowane Procesowanie,,
research.robot,Robot,,
research.robotics,Robotyka,,
research.scanning,Skanowanie,,
research.science,Nauka,,
research.security,Bezpieczeństwo,,
research.securitycontrols,Kontrole Bezpieczeństwa,,
research.selfreplication,Samoduplikacja,,
research.sentry,Dron Strażniczy,,
research.shuttle,Prom Kosmiczny,,
research.shuttleupgrades,Ulepszenia Promu Kosmicznego,,
research.smelting,Stapanie,,
research.solaradvanced,Zaawansowane Panele Słoneczne,,
research.spacesuit,Skafander Kosmiczny,,
research.spacetravel,Podróż Kosmiczna,,
research.starcredsmining,Wydobywanie StarKredytów,,
research.start,Rozpocznij Badanie,,
research.stockinsights,Wgląd w Giełdę Papierów Wartościowych,,
research.stockinsights.desc,Odblokowuje dodatkowe szczegóły dotyczące instrumentów giełdowych.,,
research.stockmarket,Giełda Papierów Wartościowych,,
research.stockmarket.desc,Odblokowuje widok giełdy z cenami i wykresami w czasie rzeczywistym.,,
research.stocktrading,Handel Papierami Wartościowymi,,
research.stocktrading.desc,Odblokowuje możliwość handlu na Giełdzie.,,
research.storage,Pojemność Badań,,
research.storage.details,Przechowywane Badania,,
research.technology,Technologia,,
research.telescope,Teleskop,,
research.temperaturecontrol,Kontrola Temperatury,,
research.terraforming,Terraformacja,,
research.terraingeneration,Generacja Terenu,,
research.tip.energy_kwh,Optymalna energia badawcza do odblokowania tej technologii w ciągu 24 godzin. Badania zajmą więcej czasu przy niższych poziomach energii.,13.01.2023,
research.tip.memory,Ilość aktywnej pamięci wymaganej podczas badań.<br>Zależy od złożoności badań.,,
research.tip.storage,Wymagane jest przechowywanie wyników badań w celu ich zapamiętania.,,
research.tip.tier,"Poziom badań. Ukończenie badań niższego poziomu może być konieczne, aby przejść do badania technologii wyższego poziomu.",,
research.tractorbeam,Wiązka Kierująca,,
research.treadmill,Bieżnia,,
research.tree,Drzewko Badawcze,,
research.vegetarianfood,Jedzenie Wegetariańskie,,
research.weaving,Tkactwo,,
research.winch,Wciągarka,,
researching,Badanie: {0},,
researching.pct,Badanie: {0} ({1}),,
reservations,Rezerwacje,,
reserved.by,Zarezerwowane Przez,,"This is a label next to a worker name who has reserved some resource - a pile of steel or an equipment item, etc."
reserved.by.detailed,Zarezerwowane przez {0},,{0} is a being name
reserved.for,Zarezerwowane przez kolejne {0},,"{0} is time. Example: ""Reserved for 18h 12m"""
reset,Reset,,
reset.input.bindings.tip,Zresetuje wszystkie ustalone klawisze do ich oryginalnych przypisań,,
reset.tips,Wskazówki do Resetu,,
reset.to.defaults,Zresetuj do Ustawień Fabrycznych,,
resource.accumulation.bar,Akumulacja zasobów: {0},,
restart.now,Zrestartuj Teraz,,
restart.required,Wymagane Ponowne Uruchomienie,,
restart.required.info,"Aby zaaplikować zmiany, potrzebne będzie ponowne uruchomienie gry.",,
resume,Wznów,,
return,Powrót,,
revert,Przywróć,,
riding.a.bot,Ujeżdża Bota,,This is for displaying what a being is currently doing. Right now it is used when a cat rides the cleaning robot.
rmb.behavior,Działanie {0} gdy jest nad urządzeniem,,{0} will be replaced by the image displaying either the right mouse button or the gamepad button that is bound to the same action
rmb.behavior.context,Pokaż Menu Kontekstowe Urządzenia,,
rmb.behavior.radial,Pokaż Menu Narzędzi,16.08.2023,
rmb.behavior.tooltip,"Wybierz, co {0} zrobi po kliknięciu nad niezaznaczonym urządzeniem.",,
roam.around,Pospaceruj sobie,,
roam.away,Odejdź od miejsca pracy,,
robot.required,Wymaga robota,,
role.destroy,Rola: Zniszczenie,,
role.play,Rola: Granie,,
role.talk,Rola: Gadka,,
role.work,Rola: Praca,,
room,Pokój,,
room.ambient.light.amt,Wartość Bazowego Oświetlenia Pokoju,,
room.ambient.light.amt.tip,"Dostosowuje, jak ciemne będą zamknięte obszary bez źródeł światła. Zainstaluj światła w zamkniętych pomieszczeniach, aby były dobrze oświetlone.",,
room.id,Pokój #{0},,
room.lighting,Zaawansowane Oświetlenie Pokoju,,
room.lighting.tip,"Jeśli włączone, źródła światła są ograniczone przez ściany pomieszczenia. Może poprawić wydajność na bardzo dużych mapach.",,
room.nr,Pokój #{0},,
room.nr.unreachable,Pokój #{0} <color={1}><b>UNREACHABLE!</b></color>,,
rotate.tip,Rotuj używając {0},,
run.in.bg,Działające w Tle,,
run.research,Rozpocznij Badanie,,
safety.check.off,Kontrola Bezpieczeństwa Wyłączona,,
safety.lacks.oxygen,Obiekt w Niebezpiecznej Strefie: <b>Niski Poziom Tlenu</b>,,
safety.lacks.oxygen.too.cold,Obiekt w Niebezpiecznej Strefie: <b>Niski Poziom Tlenu/Za Zimno</b>,,
safety.lacks.oxygen.too.hot,Obiekt w Niebezpiecznej Strefie: <b>Niski Poziom Tlenu/Za Gorąco</b>,,
safety.too.cold,Obiekt w Niebezpiecznej Strefie: <b>Za Zimno</b>,,
safety.too.hot,Obiekt w Niebezpiecznej Strefie: <b>Za Gorąco</b>,,
sandbox.mode,Tryb Piaskownicy: WŁĄCZONY,,
satisfying.hunger,Zaspokaja Głód,,
save,Zapisz i Wyjdź,,
save.and.exit,Zapisz i Wyjdź do Menu Głównego,,
save.and.exit.os,Zapisz i Wyjdź do Pulpitu,,
save.deleted,Zapis Usunięty,,
save.disabled,Zapisywanie Wyłączone,,
save.disabled.tutorial,Zapisywanie nie jest dozwolone w samouczku,,
save.error,Błąd Zapisu,,
save.failed,Nieudany Zapis,,
save.failed.info,Deweloper został poinformowany. Powód błędu: {0},,
save.file,Zapis,,
save.info,Ziarno: {0} / {1}x{2},,
save.load.anytime,Zapisanie/Ładowanie kiedykolwiek,,
save.migration,Migracja Zapisu,,
save.migration.question,"Ten plik zapisu został utworzony w wersju Demo Stardeus z generatorem historii ustawionym na <b>Losowy</b>. Możesz przełączyć się na generator historii <b>Zbalansowany</b>, aby gra była dla ciebie spokojniejsza na początku gry.<br><br>Potwierdź, którego generatora historii chcesz użyć.",,
save.playtime,Czas Grania,,
save.time,Czas Zapisu: {0},,
saved,Zapisano,,Notification about successfully saved game
scan,Skan,,
scan.progress,Postęp Skanu,,
scenario.empty_ship,Pusty Statek,,
scenario.empty_ship.tooltip,Zacznij z losowy wygenerowanym pustym statkiem,,
scenario.leaving_earth,Opuszczenie Ziemii,,
scenario.leaving_earth.tooltip,Zacznij z małą platformą i masą materiałów,,
scenario.random_ship,Losowy Statek,,
scenario.random_ship.tooltip,Zacznij z w pełni działającym losowym statkiem,,
scenario.sandbox,Tryb Piaskownicy,,
scenario.sandbox.tooltip,Zacznij z pustą przestrzenią i buduj natychmiastowo,,
scenario.wrecked_empty_ship,Rozbitek (Główne),,
scenario.wrecked_ship,Rozbite z Przedmiotami,,
screen.shake,Wstrząs Ekranu,,
scroll.speed.tip,Dostosowuje szybkość przewijania kółkiem myszy w elementach interfejsu użytkownika (nie dotyczy Drzewka Badań i Mapy Gwiezdnej).,,
search,Szukaj,,
search.for,Wyszukaj,,
searching,Szukanie,,
searching.for.clothing,Szuka ubrań,,
searching.for.headgear,Szuka nakrycia głowy,,
searching.for.merchant,Szuka Handlarza,,
searching.for.weapon,Szuka broni,,
section,Sekcja,,
sections,Sekcje,,
security.controls,Kontrole Bezpieczeństwa,,
security.controls.missing,Brakuje Kontroli Bezpieczeństwa,,
security.controls.missing.info,"Ta funkcja wymaga połączenia z Kontrolą Bezpieczeństwa. Zbadaj „Kontrole Bezpieczeństwa”, aby uzyskać plan Kontroli Bezpieczeństwa.",,
seed.randomize,Losuj Ziarno,,
seeking.medical.attention,Potrzebuje opeki medycznej,,
seeking.relief,Musi się Załatwić,,This is about a being looking for a toilet
select,Wybierz,,
select.ammo,Wybierz Typ Amunicji,,
select.crew,Wybierz Załogę,,
select.energy.source,Wybierz Źródło Energii,,
select.food,Wybierz Jedzenie,,
select.fuel,Wybierz Typ Paliwa,,
select.material,Wybierz Materiał,,
select.plant,Wybierz Roślinę,,
select.processable,Wybierz Przedmioto do Sprocesowania,,
select.projectile,Wybierz Pocisk,,
select.shuttle,Wybierz Prom Kosmiczny,,
select.skill,Wybierz Umiejętność,,
select.target,Wybierz Cel,,
select.target.material,Wybierz Materiał Docelowy,,
select.terraforming.material,Wybierz Materiał Terraformacji,,
select.upgrade,Wybierz Ulepszenie,,
select.worker,Wybierz Pracownika,,
self.repair,Napraw się,,
sell,Sprzedaj,,
settings.not.applied,Ustawienia NIE Zostały Zaapklikowane,,
settings.not.applied.info,Panel Ustawień został zamknięty bez zastosowania niektórych zmian. Czy chcesz je teraz zastosować?,,
settle.in,Skolonizuj {0},,
settle.in.combat,"Nie można kolonizować, gdy trwa walka",,
settle.in.confirm,"To jest to. Zaraz wypełnisz swoje przeznaczenie jako Komputer Pokładowy. Potwierdź zamiar osiedlenia swoich ludzkich kolonistów na {0}.<br><br>Ta akcja usunie Komorę Zastoju i większość twoich kolonistów, z wyjątkiem tych, którzy zdecydują się zostać i kontynuować eksplorację Wszechświata.",,
settle.in.expeditions,"Nie można kolonizować, gdy jest aktywna wyprawa",,
settled.in,Skolonizowano {0},,
settling.in,Kolonizowanie {0},,
shift.goto,"Kliknij {0} podczas trzymania {1}, aby się tam przenieść",,
ship.accelerating,Statek Przyspiesza,,
ship.capable.intergalactic,Lot Międzygalaktyczny,,
ship.capable.interplanetary,Lot Międzyplanetarny,,
ship.capable.intersystem,Lot Pomiędzy Systemami Gwiezdnymi,,
ship.computer.destroyed,<size=200%>Zniszczono Komputer Pokładowy</size>,,
ship.cpu.deconstruct.damaged,Przerwanie dekonstrukcji. Uszkodzonego komputera pokładowego nie można bezpiecznie zdemontować. Najpierw napraw uszkodzenia.,,
ship.decelerating,Statek Spowalnia,,
ship.direction,Przód Statku,,
ship.direction.not.set,Kierunek Przodu Statku nie jest ustawiony. Musisz go ustawić w nakładce Kontroli Statku.,,
ship.direction.set,Wybierz Kierunek Przodu Statku,,
ship.direction.unset,Anuluj Ustawienie Przodu Statku,,
ship.engines.offline,Silniki są wyłączone (brak zasilania lub są odłączone),,
ship.engines.ready,Silniki są Włączone,,
ship.flight.impossible,Statek jest obecnie nienadający się do lotu z następujących powodów:<br><br>{0},,
ship.flight.ready,Statek Nadaje się do Lotu,,
ship.has.bridge.controls,Moster Sterowania jest Włączony,,
